collection_date,site,replicate,tube,species,id_method,sample_id,ctmax_minute,ctmax_second,fecundity,size,egg_1,egg_2,egg_3
9/5/24,Wilcox Pond,1,1,skistodiaptomus_pallidus,morphological,WP1_1,48,39,13,0.857,0.008,0.009,0.01
9/5/24,Wilcox Pond,1,2,skistodiaptomus_pallidus,morphological,WP1_2,51,9,17,0.958,0.009,0.011,0.009
9/5/24,Wilcox Pond,1,3,skistodiaptomus_pallidus,morphological,WP1_3,53,1,NA,0.983,NA,NA,NA
9/5/24,Wilcox Pond,1,4,skistodiaptomus_pallidus,morphological,WP1_4,51,57,14,0.941,0.009,0.009,0.01
9/5/24,Wilcox Pond,1,5,skistodiaptomus_pallidus,morphological,WP1_5,49,6,17,0.961,0.012,0.009,0.008
9/5/24,Wilcox Pond,1,6,skistodiaptomus_pallidus,morphological,WP1_6,49,25,19,0.964,0.008,0.007,0.008
9/5/24,Wilcox Pond,1,7,skistodiaptomus_pallidus,morphological,WP1_7,50,14,NA,0.891,NA,NA,NA
9/5/24,Wilcox Pond,1,8,skistodiaptomus_pallidus,morphological,WP1_8,50,33,NA,0.95,NA,NA,NA
9/5/24,Wilcox Pond,1,9,skistodiaptomus_pallidus,morphological,WP1_9,47,16,18,0.949,0.008,0.009,0.009
9/5/24,Wilcox Pond,1,10,skistodiaptomus_pallidus,morphological,WP1_10,50,49,14,0.942,0.011,0.009,0.009
