collection_date,site,replicate,tube,species,id_method,sample_id,ctmax_minute,ctmax_second,fecundity,size
5/28/2024,Owen Park,2,1,skistodiaptomus_mississippiensis,morphological,OP2_1,59,43,NA,
5/28/2024,Owen Park,2,2,skistodiaptomus_mississippiensis,morphological,OP2_2,58,45,NA,
,,,,,,,,,,
5/28/2024,Owen Park,2,4,skistodiaptomus_mississippiensis,morphological,OP2_4,57,48,NA,
5/28/2024,Owen Park,2,5,skistodiaptomus_mississippiensis,morphological,OP2_5,57,12,13,
5/28/2024,Owen Park,2,6,skistodiaptomus_mississippiensis,morphological,OP2_6,60,1,17,
5/28/2024,Owen Park,2,7,skistodiaptomus_mississippiensis,morphological,OP2_7,59,9,NA,
5/28/2024,Owen Park,2,8,skistodiaptomus_mississippiensis,morphological,OP2_8,59,24,NA,
5/28/2024,Owen Park,2,9,skistodiaptomus_mississippiensis,morphological,OP2_9,61,16,14,
5/28/2024,Owen Park,2,10,skistodiaptomus_mississippiensis,morphological,OP2_10,61,46,12,
