collection_date,site,replicate,tube,species,id_method,sample_id,ctmax_minute,ctmax_second,fecundity,size,egg_1,egg_2,egg_3
6/28/24,Monponsett Pond,1,1,skistodiaptomus_pygmaeus,morphological,MP1_1,31,39,NA,0.918,NA,NA,NA
6/28/24,Monponsett Pond,1,2,skistodiaptomus_pygmaeus,morphological,MP1_2,28,51,NA,0.922,NA,NA,NA
6/28/24,Monponsett Pond,1,3,skistodiaptomus_pygmaeus,morphological,MP1_3,33,59,8,0.832,0.011,0.009,NA
6/28/24,Monponsett Pond,1,4,skistodiaptomus_pygmaeus,morphological,MP1_4,29,12,NA,0.873,NA,NA,NA
6/28/24,Monponsett Pond,1,5,skistodiaptomus_pygmaeus,morphological,MP1_5,30,36,7,0.868,0.008,0.008,0.01
6/28/24,Monponsett Pond,1,6,skistodiaptomus_pygmaeus,morphological,MP1_6,36,33,NA,0.868,NA,NA,NA
6/28/24,Monponsett Pond,1,7,skistodiaptomus_pygmaeus,morphological,MP1_7,28,20,6,0.84,0.01,0.009,0.011
6/28/24,Monponsett Pond,1,8,skistodiaptomus_pygmaeus,morphological,MP1_8,31,58,NA,0.863,NA,NA,NA
6/28/24,Monponsett Pond,1,9,skistodiaptomus_pygmaeus,morphological,MP1_9,23,32,NA,0.593,NA,NA,NA
6/28/24,Monponsett Pond,1,10,skistodiaptomus_pygmaeus,morphological,MP1_10,30,58,8,0.882,0.01,0.009,0.01
